Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Age and gender,Can,Total population (i),Total population (i),,,,,,26994040.0
Age and gender,Can,"  Male, Total",Total population (i),"  Male, Total",,,,,13337675.0
Age and gender,Can,    Male 0-4 years,Total population (i),"  Male, Total",    Male 0-4 years,,,,976095.0
Age and gender,Can,    Male 5-9 years,Total population (i),"  Male, Total",    Male 5-9 years,,,,974540.0
Age and gender,Can,    Male 10-14 years,Total population (i),"  Male, Total",    Male 10-14 years,,,,964900.0
Age and gender,Can,    Male 15-19 years,Total population (i),"  Male, Total",    Male 15-19 years,,,,961320.0
Age and gender,Can,    Male 20-24 years,Total population (i),"  Male, Total",    Male 20-24 years,,,,985875.0
Age and gender,Can,    Male 25-29 years,Total population (i),"  Male, Total",    Male 25-29 years,,,,1170455.0
Age and gender,Can,    Male 30-34 years,Total population (i),"  Male, Total",    Male 30-34 years,,,,1231595.0
Age and gender,Can,    Male 35-39 years,Total population (i),"  Male, Total",    Male 35-39 years,,,,1122515.0
Age and gender,Can,    Male 40-44 years,Total population (i),"  Male, Total",    Male 40-44 years,,,,1037380.0
Age and gender,Can,    Male 45-49 years,Total population (i),"  Male, Total",    Male 45-49 years,,,,820595.0
Age and gender,Can,    Male 50-54 years,Total population (i),"  Male, Total",    Male 50-54 years,,,,663095.0
Age and gender,Can,    Male 55-59 years,Total population (i),"  Male, Total",    Male 55-59 years,,,,601295.0
Age and gender,Can,    Male 60-64 years,Total population (i),"  Male, Total",    Male 60-64 years,,,,568160.0
Age and gender,Can,    Male 65-74 years,Total population (i),"  Male, Total",    Male 65-74 years,,,,835405.0
Age and gender,Can,    Male 75 years and over,Total population (i),"  Male, Total",    Male 75 years and over,,,,424445.0
Age and gender,Can,"   Female, total",Total population (i),"   Female, total",,,,,13656370.0
Age and gender,Can,    Female 0-4 years,Total population (i),"   Female, total",    Female 0-4 years,,,,927925.0
Age and gender,Can,    Female 5-9 years,Total population (i),"   Female, total",    Female 5-9 years,,,,931125.0
