Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Citizenship and Immigration,Can,Canadian citizenship (10),Canadian citizenship (10),,,,,,25465640.0
Citizenship and Immigration,Can,Citizenship other than Canadian,Citizenship other than Canadian,,,,,,1528400.0
Citizenship and Immigration,Can,Non-immigrant population (11),Non-immigrant population (11),,,,,,22427740.0
Citizenship and Immigration,Can,  Born in province of residence,Non-immigrant population (11),  Born in province of residence,,,,,18928385.0
Citizenship and Immigration,Can,Immigrant population,Immigrant population,,,,,,4342885.0
Citizenship and Immigration,Can,"  United States of America, place of birth",Immigrant population,"  United States of America, place of birth",,,,,249080.0
Citizenship and Immigration,Can,"  Central and South America, place of birth",Immigrant population,"  Central and South America, place of birth",,,,,219390.0
Citizenship and Immigration,Can,"  Caribbean and Bermuda, place of birth",Immigrant population,"  Caribbean and Bermuda, place of birth",,,,,232520.0
Citizenship and Immigration,Can,"  United Kingdom, place of birth",Immigrant population,"  United Kingdom, place of birth",,,,,717745.0
Citizenship and Immigration,Can,"  Other Europe, place of birth (12)",Immigrant population,"  Other Europe, place of birth (12)",,,,,1646955.0
Citizenship and Immigration,Can,"  Africa, place of birth",Immigrant population,"  Africa, place of birth",,,,,166175.0
Citizenship and Immigration,Can,"  India, place of birth",Immigrant population,"  India, place of birth",,,,,173675.0
Citizenship and Immigration,Can,"  Other Asia, place of birth (13)",Immigrant population,"  Other Asia, place of birth (13)",,,,,891095.0
Citizenship and Immigration,Can,"  Oceania & Other, place of birth (14)",Immigrant population,"  Oceania & Other, place of birth (14)",,,,,46255.0
Citizenship and Immigration,Can,Non-permanent residents (15),Non-permanent residents (15),,,,,,223410.0
Citizenship and Immigration,Can,Total immigrant population,Total immigrant population,,,,,,4342885.0
Citizenship and Immigration,Can,"  Before 1961, period of immigration",Total immigrant population,"  Before 1961, period of immigration",,,,,1239035.0
Citizenship and Immigration,Can,"  1961-1970, period of immigration",Total immigrant population,"  1961-1970, period of immigration",,,,,827960.0
Citizenship and Immigration,Can,"  1971-1980, period of immigration",Total immigrant population,"  1971-1980, period of immigration",,,,,1037440.0
Citizenship and Immigration,Can,"  1981-1991, period of immigration (16)",Total immigrant population,"  1981-1991, period of immigration (16)",,,,,1238450.0
Citizenship and Immigration,Can,"    1981-1987, period of immigration",Total immigrant population,"  1981-1991, period of immigration (16)","    1981-1987, period of immigration",,,,644975.0
Citizenship and Immigration,Can,"    1988-1991, period of immigration (16)",Total immigrant population,"  1981-1991, period of immigration (16)","    1988-1991, period of immigration (16)",,,,593480.0
Citizenship and Immigration,Can,"  0 - 4 years, age at immigration",Total immigrant population,"  0 - 4 years, age at immigration",,,,,476075.0
Citizenship and Immigration,Can,"  5 - 19 years, age at immigration",Total immigrant population,"  5 - 19 years, age at immigration",,,,,1193715.0
Citizenship and Immigration,Can,"  20 years and over, age at immigration",Total immigrant population,"  20 years and over, age at immigration",,,,,2673100.0
Citizenship and Immigration,Ont,Canadian citizenship (10),Canadian citizenship (10),,,,,,9111420.0
Citizenship and Immigration,Ont,Citizenship other than Canadian,Citizenship other than Canadian,,,,,,865630.0
Citizenship and Immigration,Ont,Non-immigrant population (11),Non-immigrant population (11),,,,,,7481720.0
Citizenship and Immigration,Ont,  Born in province of residence,Non-immigrant population (11),  Born in province of residence,,,,,6454635.0
Citizenship and Immigration,Ont,Immigrant population,Immigrant population,,,,,,2369175.0
Citizenship and Immigration,Ont,"  United States of America, place of birth",Immigrant population,"  United States of America, place of birth",,,,,98135.0
Citizenship and Immigration,Ont,"  Central and South America, place of birth",Immigrant population,"  Central and South America, place of birth",,,,,131435.0
Citizenship and Immigration,Ont,"  Caribbean and Bermuda, place of birth",Immigrant population,"  Caribbean and Bermuda, place of birth",,,,,153825.0
Citizenship and Immigration,Ont,"  United Kingdom, place of birth",Immigrant population,"  United Kingdom, place of birth",,,,,408875.0
Citizenship and Immigration,Ont,"  Other Europe, place of birth (12)",Immigrant population,"  Other Europe, place of birth (12)",,,,,963385.0
Citizenship and Immigration,Ont,"  Africa, place of birth",Immigrant population,"  Africa, place of birth",,,,,78195.0
Citizenship and Immigration,Ont,"  India, place of birth",Immigrant population,"  India, place of birth",,,,,88445.0
Citizenship and Immigration,Ont,"  Other Asia, place of birth (13)",Immigrant population,"  Other Asia, place of birth (13)",,,,,434240.0
Citizenship and Immigration,Ont,"  Oceania & Other, place of birth (14)",Immigrant population,"  Oceania & Other, place of birth (14)",,,,,12635.0
Citizenship and Immigration,Ont,Non-permanent residents (15),Non-permanent residents (15),,,,,,126160.0
Citizenship and Immigration,Ont,Total immigrant population,Total immigrant population,,,,,,2369175.0
Citizenship and Immigration,Ont,"  Before 1961, period of immigration",Total immigrant population,"  Before 1961, period of immigration",,,,,679995.0
Citizenship and Immigration,Ont,"  1961-1970, period of immigration",Total immigrant population,"  1961-1970, period of immigration",,,,,475445.0
