Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Dwellings,Can,Total number of occupied private dwellings,Total number of occupied private dwellings,,,,,,10018265.0
Dwellings,Can,  Owned,Total number of occupied private dwellings,  Owned,,,,,6272045.0
Dwellings,Can,  Rented,Total number of occupied private dwellings,  Rented,,,,,3719510.0
Dwellings,Can,  Band housing (ii),Total number of occupied private dwellings,  Band housing (ii),,,,,26710.0
Dwellings,Can,  Single-detached house,Total number of occupied private dwellings,  Single-detached house,,,,,5703230.0
Dwellings,Can,  Semi-detached house,Total number of occupied private dwellings,  Semi-detached house,,,,,471400.0
Dwellings,Can,  Row house,Total number of occupied private dwellings,  Row house,,,,,460035.0
Dwellings,Can,"  Apartment, detached duplex",Total number of occupied private dwellings,"  Apartment, detached duplex",,,,,374415.0
Dwellings,Can,"  Apartment building, five or more storeys",Total number of occupied private dwellings,"  Apartment building, five or more storeys",,,,,909705.0
Dwellings,Can,"  Apartment building, less than five storeys",Total number of occupied private dwellings,"  Apartment building, less than five storeys",,,,,1871355.0
Dwellings,Can,  Other single attached house,Total number of occupied private dwellings,  Other single attached house,,,,,48935.0
Dwellings,Can,  Movable dwelling (iii),Total number of occupied private dwellings,  Movable dwelling (iii),,,,,179195.0
Dwellings,Can,Total number of occupied private dwellings,Total number of occupied private dwellings,,,,,,10018270.0
Dwellings,Can,Average number of rooms per dwelling,Average number of rooms per dwelling,,,,,,6.1
Dwellings,Can,Average number of bedrooms per dwelling,Average number of bedrooms per dwelling,,,,,,2.6
Dwellings,Can,Average value of dwelling (26) $,Average value of dwelling (26) $,,,,,,144435.0
Dwellings,Can,Regular maintenance only,Regular maintenance only,,,,,,6834705.0
Dwellings,Can,Minor repairs,Minor repairs,,,,,,2365705.0
Dwellings,Can,Major repairs,Major repairs,,,,,,817855.0
Dwellings,Can,"Before 1946, period of construction","Before 1946, period of construction",,,,,,1776710.0
Dwellings,Can,"1946 - 1960, period of construction","1946 - 1960, period of construction",,,,,,1766350.0
Dwellings,Can,"1961 - 1970, period of construction","1961 - 1970, period of construction",,,,,,1837995.0
Dwellings,Can,"1971 - 1980, period of construction","1971 - 1980, period of construction",,,,,,2473930.0
Dwellings,Can,"1981 - 1985, period of construction","1981 - 1985, period of construction",,,,,,940015.0
Dwellings,Can,"1986 - 1991, period of construction (27)","1986 - 1991, period of construction (27)",,,,,,1223265.0
Dwellings,Can,Total number of private households,Total number of private households,,,,,,10018270.0
Dwellings,Can,Average number of persons per room,Average number of persons per room,,,,,,0.4
Dwellings,Can,Tenant one-family households without additional persons,Tenant one-family households without additional persons,,,,,,1740430.0
Dwellings,Can,Average gross rent (28) $,Average gross rent (28) $,,,,,,580.0
Dwellings,Can,Gross rent >= 30% of household income (29),Gross rent >= 30% of household income (29),,,,,,505425.0
Dwellings,Can,Owner one-family households without additional persons,Owner one-family households without additional persons,,,,,,4549985.0
Dwellings,Can,Average major payments for owners (26) $,Average major payments for owners (26) $,,,,,,708.0
Dwellings,Can,Owner's major payments >= 30% of household income (30),Owner's major payments >= 30% of household income (30),,,,,,629825.0
Dwellings,Ont,Total number of occupied private dwellings,Total number of occupied private dwellings,,,,,,3638365.0
Dwellings,Ont,  Owned,Total number of occupied private dwellings,  Owned,,,,,2315750.0
Dwellings,Ont,  Rented,Total number of occupied private dwellings,  Rented,,,,,1318630.0
Dwellings,Ont,  Band housing (ii),Total number of occupied private dwellings,  Band housing (ii),,,,,3985.0
