Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Education,Can,"Total population 15 - 24 years, by school attendance","Total population 15 - 24 years, by school attendance",,,,,,3832825.0
Education,Can,  Not attending school,"Total population 15 - 24 years, by school attendance",  Not attending school,,,,,1468300.0
Education,Can,  Attending school full time,"Total population 15 - 24 years, by school attendance",  Attending school full time,,,,,2124995.0
Education,Can,  Attending school part time,"Total population 15 - 24 years, by school attendance",  Attending school part time,,,,,239530.0
Education,Can,Total population 15 years and over,Total population 15 years and over,,,,,,21304740.0
Education,Can,"  Highest level of schooling, less than grade 9 (18)",Total population 15 years and over,"  Highest level of schooling, less than grade 9 (18)",,,,,2959910.0
Education,Can,  Grades 9-13 - Without secondary certificate,Total population 15 years and over,  Grades 9-13 - Without secondary certificate,,,,,5170345.0
Education,Can,  Grades 9-13 - With secondary certificate,Total population 15 years and over,  Grades 9-13 - With secondary certificate,,,,,3146345.0
Education,Can,  Trades certificate or diploma,Total population 15 years and over,  Trades certificate or diploma,,,,,846885.0
Education,Can,  Other non-university - Without certificate (19),Total population 15 years and over,  Other non-university - Without certificate (19),,,,,1393715.0
Education,Can,  Other non-university - With certificate (19) (20),Total population 15 years and over,  Other non-university - With certificate (19) (20),,,,,3362485.0
Education,Can,  University - Without degree,Total population 15 years and over,  University - Without degree,,,,,2005305.0
Education,Can,  University - Without certificate,Total population 15 years and over,  University - Without certificate,,,,,936910.0
Education,Can,  University - With certificate (20),Total population 15 years and over,  University - With certificate (20),,,,,1068395.0
Education,Can,  University - With degree,Total population 15 years and over,  University - With degree,,,,,2419750.0
Education,Can,Males with postsecondary qualifications (21),Males with postsecondary qualifications (21),,,,,,4013450.0
Education,Can,"  Educational, recreational and counselling services",Males with postsecondary qualifications (21),"  Educational, recreational and counselling services",,,,,216470.0
Education,Can,  Fine and applied arts,Males with postsecondary qualifications (21),  Fine and applied arts,,,,,138335.0
Education,Can,  Humanities and related fields,Males with postsecondary qualifications (21),  Humanities and related fields,,,,,210465.0
Education,Can,  Social sciences and related fields,Males with postsecondary qualifications (21),  Social sciences and related fields,,,,,334210.0
Education,Can,"  Commerce, management and business administration",Males with postsecondary qualifications (21),"  Commerce, management and business administration",,,,,626860.0
Education,Can,  Agricultural and biological sciences/technologies,Males with postsecondary qualifications (21),  Agricultural and biological sciences/technologies,,,,,194820.0
Education,Can,  Engineering and applied sciences,Males with postsecondary qualifications (21),  Engineering and applied sciences,,,,,270640.0
Education,Can,  Engineering and applied science techs. and trades,Males with postsecondary qualifications (21),  Engineering and applied science techs. and trades,,,,,1669640.0
Education,Can,"  Health professions, sciences and technologies",Males with postsecondary qualifications (21),"  Health professions, sciences and technologies",,,,,167435.0
Education,Can,  Mathematics and physical sciences,Males with postsecondary qualifications (21),  Mathematics and physical sciences,,,,,171050.0
Education,Can,"  No specialization and all other, n.e.c.",Males with postsecondary qualifications (21),"  No specialization and all other, n.e.c.",,,,,13515.0
Education,Can,Females with postsecondary qualifications (21),Females with postsecondary qualifications (21),,,,,,3684070.0
Education,Can,"  Educational, recreational and counselling services",Females with postsecondary qualifications (21),"  Educational, recreational and counselling services",,,,,580685.0
Education,Can,  Fine and applied arts,Females with postsecondary qualifications (21),  Fine and applied arts,,,,,296390.0
Education,Can,  Humanities and related fields,Females with postsecondary qualifications (21),  Humanities and related fields,,,,,257435.0
Education,Can,  Social sciences and related fields,Females with postsecondary qualifications (21),  Social sciences and related fields,,,,,325745.0
Education,Can,"  Commerce, management and business administration",Females with postsecondary qualifications (21),"  Commerce, management and business administration",,,,,1093415.0
Education,Can,  Agricultural and biological sciences/technologies,Females with postsecondary qualifications (21),  Agricultural and biological sciences/technologies,,,,,165065.0
Education,Can,  Engineering and applied sciences,Females with postsecondary qualifications (21),  Engineering and applied sciences,,,,,26120.0
Education,Can,  Engineering and applied science techs. and trades,Females with postsecondary qualifications (21),  Engineering and applied science techs. and trades,,,,,130025.0
Education,Can,"  Health professions, sciences and technologies",Females with postsecondary qualifications (21),"  Health professions, sciences and technologies",,,,,717055.0
Education,Can,  Mathematics and physical sciences,Females with postsecondary qualifications (21),  Mathematics and physical sciences,,,,,77950.0
Education,Can,"  No specialization and all other, n.e.c.",Females with postsecondary qualifications (21),"  No specialization and all other, n.e.c.",,,,,14180.0
Education,Ont,"Total population 15 - 24 years, by school attendance","Total population 15 - 24 years, by school attendance",,,,,,1420585.0
Education,Ont,  Not attending school,"Total population 15 - 24 years, by school attendance",  Not attending school,,,,,502020.0
Education,Ont,  Attending school full time,"Total population 15 - 24 years, by school attendance",  Attending school full time,,,,,831460.0
Education,Ont,  Attending school part time,"Total population 15 - 24 years, by school attendance",  Attending school part time,,,,,87105.0
Education,Ont,Total population 15 years and over,Total population 15 years and over,,,,,,7922925.0
Education,Ont,"  Highest level of schooling, less than grade 9 (18)",Total population 15 years and over,"  Highest level of schooling, less than grade 9 (18)",,,,,911965.0
Education,Ont,  Grades 9-13 - Without secondary certificate,Total population 15 years and over,  Grades 9-13 - Without secondary certificate,,,,,1971560.0
Education,Ont,  Grades 9-13 - With secondary certificate,Total population 15 years and over,  Grades 9-13 - With secondary certificate,,,,,1228250.0
Education,Ont,  Trades certificate or diploma,Total population 15 years and over,  Trades certificate or diploma,,,,,272470.0
Education,Ont,  Other non-university - Without certificate (19),Total population 15 years and over,  Other non-university - Without certificate (19),,,,,515480.0
Education,Ont,  Other non-university - With certificate (19) (20),Total population 15 years and over,  Other non-university - With certificate (19) (20),,,,,1263030.0
Education,Ont,  University - Without degree,Total population 15 years and over,  University - Without degree,,,,,732575.0
Education,Ont,  University - Without certificate,Total population 15 years and over,  University - Without certificate,,,,,397265.0
Education,Ont,  University - With certificate (20),Total population 15 years and over,  University - With certificate (20),,,,,335305.0
Education,Ont,  University - With degree,Total population 15 years and over,  University - With degree,,,,,1027590.0
Education,Ont,Males with postsecondary qualifications (21),Males with postsecondary qualifications (21),,,,,,1516635.0
Education,Ont,"  Educational, recreational and counselling services",Males with postsecondary qualifications (21),"  Educational, recreational and counselling services",,,,,67330.0
Education,Ont,  Fine and applied arts,Males with postsecondary qualifications (21),  Fine and applied arts,,,,,54280.0
Education,Ont,  Humanities and related fields,Males with postsecondary qualifications (21),  Humanities and related fields,,,,,82595.0
Education,Ont,  Social sciences and related fields,Males with postsecondary qualifications (21),  Social sciences and related fields,,,,,148570.0
Education,Ont,"  Commerce, management and business administration",Males with postsecondary qualifications (21),"  Commerce, management and business administration",,,,,251600.0
