Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Employment rates,Can,Both Sexes - 15 years and over,Both Sexes - 15 years and over,,,,,,21304740.0
Employment rates,Can,"  In labour force, both sexes 15+",Both Sexes - 15 years and over,"  In labour force, both sexes 15+",,,,,14474945.0
Employment rates,Can,"    Employed, both sexes 15+",Both Sexes - 15 years and over,"  In labour force, both sexes 15+","    Employed, both sexes 15+",,,,13005505.0
Employment rates,Can,"    Unemployed, both sexes 15+",Both Sexes - 15 years and over,"  In labour force, both sexes 15+","    Unemployed, both sexes 15+",,,,1469440.0
Employment rates,Can,"  Not in the labour force, both sexes 15+",Both Sexes - 15 years and over,"  Not in the labour force, both sexes 15+",,,,,6829795.0
Employment rates,Can,"  Unemployment rate, both sexes 15+",Both Sexes - 15 years and over,"  Unemployment rate, both sexes 15+",,,,,10.2
Employment rates,Can,"  Participation rate, both sexes 15+",Both Sexes - 15 years and over,"  Participation rate, both sexes 15+",,,,,67.9
Employment rates,Can,Both Sexes - 15-24 years,Both Sexes - 15-24 years,,,,,,3832825.0
Employment rates,Can,"  In labour force, both sexes 15-24 years",Both Sexes - 15-24 years,"  In labour force, both sexes 15-24 years",,,,,2564200.0
Employment rates,Can,"    Employed, both sexes 15-24 years",Both Sexes - 15-24 years,"  In labour force, both sexes 15-24 years","    Employed, both sexes 15-24 years",,,,2166095.0
Employment rates,Can,"    Unemployed, both sexes 15-24 years",Both Sexes - 15-24 years,"  In labour force, both sexes 15-24 years","    Unemployed, both sexes 15-24 years",,,,398110.0
Employment rates,Can,"  Not in the labour force, both sexes 15-24 years",Both Sexes - 15-24 years,"  Not in the labour force, both sexes 15-24 years",,,,,1268625.0
Employment rates,Can,"  Unemployment rate, both sexes 15-24 years",Both Sexes - 15-24 years,"  Unemployment rate, both sexes 15-24 years",,,,,15.5
Employment rates,Can,"  Participation rate, both sexes 15-24 years",Both Sexes - 15-24 years,"  Participation rate, both sexes 15-24 years",,,,,66.9
Employment rates,Can,Both Sexes - 25 years and over,Both Sexes - 25 years and over,,,,,,17471915.0
Employment rates,Can,"  In labour force, both sexes 25+",Both Sexes - 25 years and over,"  In labour force, both sexes 25+",,,,,11910740.0
Employment rates,Can,"    Employed, both sexes 25+",Both Sexes - 25 years and over,"  In labour force, both sexes 25+","    Employed, both sexes 25+",,,,10839410.0
Employment rates,Can,"    Unemployed, both sexes 25+",Both Sexes - 25 years and over,"  In labour force, both sexes 25+","    Unemployed, both sexes 25+",,,,1071330.0
Employment rates,Can,"  Not in the labour force, both sexes 25+",Both Sexes - 25 years and over,"  Not in the labour force, both sexes 25+",,,,,5561175.0
Employment rates,Can,"  Unemployment rate, both sexes 25+",Both Sexes - 25 years and over,"  Unemployment rate, both sexes 25+",,,,,9.0
Employment rates,Can,"  Participation rate, both sexes 25+",Both Sexes - 25 years and over,"  Participation rate, both sexes 25+",,,,,68.2
Employment rates,Can,Males - 15 years and over,Males - 15 years and over,,,,,,10422145.0
Employment rates,Can,"  In labour force, males 15+",Males - 15 years and over,"  In labour force, males 15+",,,,,7957830.0
Employment rates,Can,"    Employed, males 15+",Males - 15 years and over,"  In labour force, males 15+","    Employed, males 15+",,,,7151295.0
Employment rates,Can,"    Unemployed, males 15+",Males - 15 years and over,"  In labour force, males 15+","    Unemployed, males 15+",,,,806535.0
Employment rates,Can,"  Not in the labour force, males 15+",Males - 15 years and over,"  Not in the labour force, males 15+",,,,,2464315.0
Employment rates,Can,"  Unemployment rate, males 15+",Males - 15 years and over,"  Unemployment rate, males 15+",,,,,10.1
Employment rates,Can,"  Participation rate, males 15+",Males - 15 years and over,"  Participation rate, males 15+",,,,,76.4
Employment rates,Can,Males - 15-24 years,Males - 15-24 years,,,,,,1947200.0
Employment rates,Can,"  In labour force, males 15-24 years",Males - 15-24 years,"  In labour force, males 15-24 years",,,,,1341220.0
Employment rates,Can,"    Employed, males 15-24 years",Males - 15-24 years,"  In labour force, males 15-24 years","    Employed, males 15-24 years",,,,1120665.0
Employment rates,Can,"    Unemployed, males 15-24 years",Males - 15-24 years,"  In labour force, males 15-24 years","    Unemployed, males 15-24 years",,,,220560.0
Employment rates,Can,"  Not in the labour force, males 15-24 years",Males - 15-24 years,"  Not in the labour force, males 15-24 years",,,,,605980.0
Employment rates,Can,"  Unemployment rate, males 15-24 years",Males - 15-24 years,"  Unemployment rate, males 15-24 years",,,,,16.4
Employment rates,Can,"  Participation rate, males 15-24 years",Males - 15-24 years,"  Participation rate, males 15-24 years",,,,,68.9
Employment rates,Can,Males - 25 years and over,Males - 25 years and over,,,,,,8474945.0
Employment rates,Can,"  In labour force, males 25+",Males - 25 years and over,"  In labour force, males 25+",,,,,6616610.0
Employment rates,Can,"    Employed, males 25+",Males - 25 years and over,"  In labour force, males 25+","    Employed, males 25+",,,,6030640.0
Employment rates,Can,"    Unemployed, males 25+",Males - 25 years and over,"  In labour force, males 25+","    Unemployed, males 25+",,,,585975.0
Employment rates,Can,"  Not in the labour force, males 25+",Males - 25 years and over,"  Not in the labour force, males 25+",,,,,1858335.0
Employment rates,Can,"  Unemployment rate, males 25+",Males - 25 years and over,"  Unemployment rate, males 25+",,,,,8.9
Employment rates,Can,"  Participation rate, males 25+",Males - 25 years and over,"  Participation rate, males 25+",,,,,78.1
Employment rates,Can,Females - 15 years and over,Females - 15 years and over,,,,,,10882590.0
Employment rates,Can,"  In labour force, females 15+",Females - 15 years and over,"  In labour force, females 15+",,,,,6517110.0
Employment rates,Can,"    Employed, females 15+",Females - 15 years and over,"  In labour force, females 15+","    Employed, females 15+",,,,5854205.0
Employment rates,Can,"    Unemployed, females 15+",Females - 15 years and over,"  In labour force, females 15+","    Unemployed, females 15+",,,,662905.0
Employment rates,Can,"  Not in the labour force, females 15+",Females - 15 years and over,"  Not in the labour force, females 15+",,,,,4365485.0
Employment rates,Can,"  Unemployment rate, females 15+",Females - 15 years and over,"  Unemployment rate, females 15+",,,,,10.2
Employment rates,Can,"  Participation rate, females 15+",Females - 15 years and over,"  Participation rate, females 15+",,,,,59.9
Employment rates,Can,Females - 15-24 years,Females - 15-24 years,,,,,,1885625.0
Employment rates,Can,"  In labour force, females 15-24 years",Females - 15-24 years,"  In labour force, females 15-24 years",,,,,1222975.0
Employment rates,Can,"    Employed, females 15-24 years",Females - 15-24 years,"  In labour force, females 15-24 years","    Employed, females 15-24 years",,,,1045430.0
Employment rates,Can,"    Unemployed, females 15-24 years",Females - 15-24 years,"  In labour force, females 15-24 years","    Unemployed, females 15-24 years",,,,177550.0
Employment rates,Can,"  Not in the labour force, females 15-24 years",Females - 15-24 years,"  Not in the labour force, females 15-24 years",,,,,662650.0
Employment rates,Can,"  Unemployment rate, females 15-24 years",Females - 15-24 years,"  Unemployment rate, females 15-24 years",,,,,14.5
Employment rates,Can,"  Participation rate, females 15-24 years",Females - 15-24 years,"  Participation rate, females 15-24 years",,,,,64.9
Employment rates,Can,Females - 25 years and over,Females - 25 years and over,,,,,,8996970.0
Employment rates,Can,"  In labour force, females 25+",Females - 25 years and over,"  In labour force, females 25+",,,,,5294130.0
Employment rates,Can,"    Employed, females 25+",Females - 25 years and over,"  In labour force, females 25+","    Employed, females 25+",,,,4808775.0
Employment rates,Can,"    Unemployed, females 25+",Females - 25 years and over,"  In labour force, females 25+","    Unemployed, females 25+",,,,485355.0
Employment rates,Can,"  Not in the labour force, females 25+",Females - 25 years and over,"  Not in the labour force, females 25+",,,,,3702840.0
Employment rates,Can,"  Unemployment rate, females 25+",Females - 25 years and over,"  Unemployment rate, females 25+",,,,,9.2
Employment rates,Can,"  Participation rate, females 25+",Females - 25 years and over,"  Participation rate, females 25+",,,,,58.8
