Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Family structure,Can,Total number of private households,Total number of private households,,,,,,10018265.0
Family structure,Can,"  Size of household, 1 person",Total number of private households,"  Size of household, 1 person",,,,,2282485.0
Family structure,Can,"  Size of household, 2 persons",Total number of private households,"  Size of household, 2 persons",,,,,3147440.0
Family structure,Can,"  Size of household, 3 persons",Total number of private households,"  Size of household, 3 persons",,,,,1749835.0
Family structure,Can,"  Size of household, 4 or 5 persons",Total number of private households,"  Size of household, 4 or 5 persons",,,,,2515430.0
Family structure,Can,"  Size of household, 6 or more persons",Total number of private households,"  Size of household, 6 or more persons",,,,,323080.0
Family structure,Can,  Non-family household,Total number of private households,  Non-family household,,,,,2775675.0
Family structure,Can,    1 census family household,Total number of private households,  Non-family household,    1 census family household,,,,7133230.0
Family structure,Can,    2 or more census family household,Total number of private households,  Non-family household,    2 or more census family household,,,,109365.0
Family structure,Can,Number of persons in private households,Number of persons in private households,,,,,,26731705.0
Family structure,Can,Average number of persons per household,Average number of persons per household,,,,,,2.7
Family structure,Can,Total number of census families,Total number of census families,,,,,,7355725.0
Family structure,Can,"   Size of census family, 2 persons",Total number of census families,"   Size of census family, 2 persons",,,,,3133500.0
Family structure,Can,"   Size of census family, 3 persons",Total number of census families,"   Size of census family, 3 persons",,,,,1666650.0
Family structure,Can,"   Size of census family, 4 persons",Total number of census families,"   Size of census family, 4 persons",,,,,1727830.0
Family structure,Can,"   Size of census family, 5 or more persons",Total number of census families,"   Size of census family, 5 or more persons",,,,,827750.0
Family structure,Can,Total husband-wife families (iv),Total husband-wife families (iv),,,,,,6402085.0
Family structure,Can,  Total families of now-married couples,Total husband-wife families (iv),  Total families of now-married couples,,,,,5682815.0
Family structure,Can,    Total without sons and daughters at home,Total husband-wife families (iv),  Total families of now-married couples,    Total without sons and daughters at home,,,,2148070.0
Family structure,Can,    Total with sons and daughters at home,Total husband-wife families (iv),  Total families of now-married couples,    Total with sons and daughters at home,,,,3534740.0
Family structure,Can,      1 son or daughter,Total husband-wife families (iv),  Total families of now-married couples,    Total with sons and daughters at home,      1 son or daughter,,,1221390.0
Family structure,Can,      2 sons and/or daughters,Total husband-wife families (iv),  Total families of now-married couples,    Total with sons and daughters at home,      2 sons and/or daughters,,,1549440.0
Family structure,Can,      3 or more sons and/or daughters,Total husband-wife families (iv),  Total families of now-married couples,    Total with sons and daughters at home,      3 or more sons and/or daughters,,,763910.0
