Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Income,Can,"Males - Worked full year, full time (33)","Males - Worked full year, full time (33)",,,,,,4699895.0
Income,Can,  Average employment income $,"Males - Worked full year, full time (33)",  Average employment income $,,,,,38648.0
Income,Can,  Standard error of average employment income $,"Males - Worked full year, full time (33)",  Standard error of average employment income $,,,,,32.0
Income,Can,Males - Worked part year or part time (34),Males - Worked part year or part time (34),,,,,,3207005.0
Income,Can,  Average employment income $,Males - Worked part year or part time (34),  Average employment income $,,,,,17952.0
Income,Can,  Standard error of average employment income $,Males - Worked part year or part time (34),  Standard error of average employment income $,,,,,28.0
Income,Can,"Females - Worked full year, full time (33)","Females - Worked full year, full time (33)",,,,,,3018885.0
Income,Can,  Average employment income $,"Females - Worked full year, full time (33)",  Average employment income $,,,,,26033.0
Income,Can,  Standard error of average employment income $,"Females - Worked full year, full time (33)",  Standard error of average employment income $,,,,,18.0
Income,Can,Females - Worked part year or part time (34),Females - Worked part year or part time (34),,,,,,3545250.0
Income,Can,  Average employment income $,Females - Worked part year or part time (34),  Average employment income $,,,,,11244.0
Income,Can,  Standard error of average employment income $,Females - Worked part year or part time (34),  Standard error of average employment income $,,,,,13.0
Income,Can,"Composition of total income, total (35) %","Composition of total income, total (35) %",,,,,,100.0
Income,Can,Employment income %,Employment income %,,,,,,77.8
Income,Can,Government transfer payments %,Government transfer payments %,,,,,,11.4
Income,Can,Other income %,Other income %,,,,,,10.8
Income,Can,Males 15 years and over with income,Males 15 years and over with income,,,,,,9882395.0
Income,Can,"  Under $1,000, males 15+ (36)",Males 15 years and over with income,"  Under $1,000, males 15+ (36)",,,,,264845.0
Income,Can,"  $ 1,000 - $ 2,999, males 15+",Males 15 years and over with income,"  $ 1,000 - $ 2,999, males 15+",,,,,375105.0
Income,Can,"  $ 3,000 - $ 4,999, males 15+",Males 15 years and over with income,"  $ 3,000 - $ 4,999, males 15+",,,,,318075.0
Income,Can,"  $ 5,000 - $ 6,999, males 15+",Males 15 years and over with income,"  $ 5,000 - $ 6,999, males 15+",,,,,379090.0
Income,Can,"  $ 7,000 - $ 9,999, males 15+",Males 15 years and over with income,"  $ 7,000 - $ 9,999, males 15+",,,,,609420.0
Income,Can,"  $10,000 - $14,999, males 15+",Males 15 years and over with income,"  $10,000 - $14,999, males 15+",,,,,1033740.0
Income,Can,"  $15,000 - $19,999, males 15+",Males 15 years and over with income,"  $15,000 - $19,999, males 15+",,,,,905190.0
Income,Can,"  $20,000 - $24,999, males 15+",Males 15 years and over with income,"  $20,000 - $24,999, males 15+",,,,,928660.0
Income,Can,"  $25,000 - $29,999, males 15+",Males 15 years and over with income,"  $25,000 - $29,999, males 15+",,,,,884905.0
Income,Can,"  $30,000 - $39,999, males 15+",Males 15 years and over with income,"  $30,000 - $39,999, males 15+",,,,,1616695.0
Income,Can,"  $40,000 - $49,999, males 15+",Males 15 years and over with income,"  $40,000 - $49,999, males 15+",,,,,1092210.0
Income,Can,"  $50,000 and over, males 15+",Males 15 years and over with income,"  $50,000 and over, males 15+",,,,,1474455.0
Income,Can,"  Average income, males 15+ (37) $",Males 15 years and over with income,"  Average income, males 15+ (37) $",,,,,30205.0
Income,Can,"  Median income, males 15+ (37) $",Males 15 years and over with income,"  Median income, males 15+ (37) $",,,,,25571.0
Income,Can,"  Standard error of average income, males 15+ $",Males 15 years and over with income,"  Standard error of average income, males 15+ $",,,,,22.0
Income,Can,Females 15 years and over with income,Females 15 years and over with income,,,,,,9542490.0
Income,Can,"  Under $1,000, females 15+ (36)",Females 15 years and over with income,"  Under $1,000, females 15+ (36)",,,,,416565.0
Income,Can,"  $ 1,000 - $ 2,999, females 15+",Females 15 years and over with income,"  $ 1,000 - $ 2,999, females 15+",,,,,620155.0
Income,Can,"  $ 3,000 - $ 4,999, females 15+",Females 15 years and over with income,"  $ 3,000 - $ 4,999, females 15+",,,,,590815.0
Income,Can,"  $ 5,000 - $ 6,999, females 15+",Females 15 years and over with income,"  $ 5,000 - $ 6,999, females 15+",,,,,702640.0
Income,Can,"  $ 7,000 - $ 9,999, females 15+",Females 15 years and over with income,"  $ 7,000 - $ 9,999, females 15+",,,,,1102920.0
Income,Can,"  $10,000 - $14,999, females 15+",Females 15 years and over with income,"  $10,000 - $14,999, females 15+",,,,,1707645.0
Income,Can,"  $15,000 - $19,999, females 15+",Females 15 years and over with income,"  $15,000 - $19,999, females 15+",,,,,1097300.0
Income,Can,"  $20,000 - $24,999, females 15+",Females 15 years and over with income,"  $20,000 - $24,999, females 15+",,,,,981450.0
Income,Can,"  $25,000 - $29,999, females 15+",Females 15 years and over with income,"  $25,000 - $29,999, females 15+",,,,,733555.0
Income,Can,"  $30,000 - $39,999, females 15+",Females 15 years and over with income,"  $30,000 - $39,999, females 15+",,,,,871600.0
Income,Can,"  $40,000 - $49,999, females 15+",Females 15 years and over with income,"  $40,000 - $49,999, females 15+",,,,,387550.0
