Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Industry divisions,Can,  All industries (24) (25),Total labour force 15 years and over,  All industries (24) (25),,,,,14220235.0
Industry divisions,Can,    Agricultural and related service industries,Total labour force 15 years and over,  All industries (24) (25),    Agricultural and related service industries,,,,521335.0
Industry divisions,Can,    Fishing and trapping industries,Total labour force 15 years and over,  All industries (24) (25),    Fishing and trapping industries,,,,48165.0
Industry divisions,Can,    Logging and forestry industries,Total labour force 15 years and over,  All industries (24) (25),    Logging and forestry industries,,,,106485.0
Industry divisions,Can,"    Mining (incl. milling), quarrying & oil well inds.",Total labour force 15 years and over,  All industries (24) (25),"    Mining (incl. milling), quarrying & oil well inds.",,,,192030.0
Industry divisions,Can,    Manufacturing industries,Total labour force 15 years and over,  All industries (24) (25),    Manufacturing industries,,,,2084110.0
Industry divisions,Can,    Construction industries,Total labour force 15 years and over,  All industries (24) (25),    Construction industries,,,,933425.0
Industry divisions,Can,    Transportation and storage industries,Total labour force 15 years and over,  All industries (24) (25),    Transportation and storage industries,,,,581815.0
Industry divisions,Can,    Communication and other utility industries,Total labour force 15 years and over,  All industries (24) (25),    Communication and other utility industries,,,,479185.0
Industry divisions,Can,    Wholesale trade industries,Total labour force 15 years and over,  All industries (24) (25),    Wholesale trade industries,,,,614345.0
Industry divisions,Can,    Retail trade industries,Total labour force 15 years and over,  All industries (24) (25),    Retail trade industries,,,,1831345.0
Industry divisions,Can,    Finance and insurance industries,Total labour force 15 years and over,  All industries (24) (25),    Finance and insurance industries,,,,576860.0
Industry divisions,Can,    Real estate operator and insurance agent inds.,Total labour force 15 years and over,  All industries (24) (25),    Real estate operator and insurance agent inds.,,,,233705.0
Industry divisions,Can,    Business service industries,Total labour force 15 years and over,  All industries (24) (25),    Business service industries,,,,802405.0
Industry divisions,Can,    Government service industries,Total labour force 15 years and over,  All industries (24) (25),    Government service industries,,,,1111390.0
Industry divisions,Can,    Educational service industries,Total labour force 15 years and over,  All industries (24) (25),    Educational service industries,,,,972515.0
Industry divisions,Can,    Health and social service industries,Total labour force 15 years and over,  All industries (24) (25),    Health and social service industries,,,,1277340.0
Industry divisions,Can,"    Accommodation, food and beverage service inds.",Total labour force 15 years and over,  All industries (24) (25),"    Accommodation, food and beverage service inds.",,,,909705.0
Industry divisions,Can,    Other service industries,Total labour force 15 years and over,  All industries (24) (25),    Other service industries,,,,944070.0
Industry divisions,Can,Males - All occupations (Major groups) (24) (25),Males - All occupations (Major groups) (24) (25),,,,,,7839245.0
Industry divisions,Can,"  Managerial, administrative and related occupations",Males - All occupations (Major groups) (24) (25),"  Managerial, administrative and related occupations",,,,,1086150.0
Industry divisions,Can,"  Occupations in nat. sciences, engineering and math.",Males - All occupations (Major groups) (24) (25),"  Occupations in nat. sciences, engineering and math.",,,,,458320.0
