Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Language,Can,"Mother tongue,single responses","Mother tongue,single responses",,,,,,26663790.0
Language,Can,  English,"Mother tongue,single responses",  English,,,,,16169880.0
Language,Can,  French,"Mother tongue,single responses",  French,,,,,6502865.0
Language,Can,  Non-official languages,"Mother tongue,single responses",  Non-official languages,,,,,3991050.0
Language,Can,    Italian,"Mother tongue,single responses",  Non-official languages,    Italian,,,,510990.0
Language,Can,    Chinese,"Mother tongue,single responses",  Non-official languages,    Chinese,,,,498845.0
Language,Can,    German,"Mother tongue,single responses",  Non-official languages,    German,,,,466245.0
Language,Can,    Portuguese,"Mother tongue,single responses",  Non-official languages,    Portuguese,,,,212085.0
Language,Can,    Polish,"Mother tongue,single responses",  Non-official languages,    Polish,,,,189815.0
Language,Can,    Ukrainian,"Mother tongue,single responses",  Non-official languages,    Ukrainian,,,,187010.0
Language,Can,    Spanish,"Mother tongue,single responses",  Non-official languages,    Spanish,,,,177425.0
Language,Can,    Dutch,"Mother tongue,single responses",  Non-official languages,    Dutch,,,,139035.0
Language,Can,    Greek,"Mother tongue,single responses",  Non-official languages,    Greek,,,,126205.0
Language,Can,    Punjabi,"Mother tongue,single responses",  Non-official languages,    Punjabi,,,,136460.0
Language,Can,    Arabic,"Mother tongue,single responses",  Non-official languages,    Arabic,,,,107745.0
Language,Can,    Tagalog,"Mother tongue,single responses",  Non-official languages,    Tagalog,,,,99710.0
Language,Can,    Cree,"Mother tongue,single responses",  Non-official languages,    Cree,,,,73780.0
Language,Can,    Inuktitut,"Mother tongue,single responses",  Non-official languages,    Inuktitut,,,,24100.0
Language,Can,    Montagnais-Naskapi,"Mother tongue,single responses",  Non-official languages,    Montagnais-Naskapi,,,,7345.0
Language,Can,"    Athapaskan languages,n.i.e.","Mother tongue,single responses",  Non-official languages,"    Athapaskan languages,n.i.e.",,,,6905.0
Language,Can,      Micmac,"Mother tongue,single responses",  Non-official languages,"    Athapaskan languages,n.i.e.",      Micmac,,,6020.0
Language,Can,      South Slave,"Mother tongue,single responses",  Non-official languages,"    Athapaskan languages,n.i.e.",      South Slave,,,3325.0
Language,Can,      Chipewyan,"Mother tongue,single responses",  Non-official languages,"    Athapaskan languages,n.i.e.",      Chipewyan,,,2230.0
