Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Religion,Can,"Religion, Catholic","Religion, Catholic",,,,,,12335255.0
Religion,Can,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,12206865.0
Religion,Can,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,128390.0
Religion,Can,"Religion, Protestant","Religion, Protestant",,,,,,9780715.0
Religion,Can,  United Church,"Religion, Protestant",  United Church,,,,,3093120.0
Religion,Can,  Anglican,"Religion, Protestant",  Anglican,,,,,2188110.0
Religion,Can,  Baptist,"Religion, Protestant",  Baptist,,,,,663355.0
Religion,Can,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,636295.0
Religion,Can,  Lutheran,"Religion, Protestant",  Lutheran,,,,,636205.0
Religion,Can,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,436435.0
Religion,Can,  Mennonite,"Religion, Protestant",  Mennonite,,,,,207970.0
Religion,Can,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,168375.0
Religion,Can,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,119020.0
Religion,Can,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,112345.0
Religion,Can,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,100765.0
Religion,Can,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,1418710.0
Religion,Can,Other Religions,Other Religions,,,,,,1491710.0
Religion,Can,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,387395.0
Religion,Can,  Jewish,Other Religions,  Jewish,,,,,318070.0
Religion,Can,  Islam,Other Religions,  Islam,,,,,253265.0
Religion,Can,  Buddhist,Other Religions,  Buddhist,,,,,163420.0
Religion,Can,  Hindu,Other Religions,  Hindu,,,,,157010.0
Religion,Can,  Sikh,Other Religions,  Sikh,,,,,147440.0
Religion,Can,Other (other religions) (4),Other (other religions) (4),,,,,,65120.0
Religion,Can,No religious affiliation,No religious affiliation,,,,,,3386365.0
Religion,Ont,"Religion, Catholic","Religion, Catholic",,,,,,3544515.0
Religion,Ont,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,3507975.0
Religion,Ont,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,36540.0
Religion,Ont,"Religion, Protestant","Religion, Protestant",,,,,,4428305.0
