Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Canada,"Population, 2001 - 100% Data",,,,,,,30007094
Canada,Total population by sex and age groups - 100% Data,,,,,,,30007090
Canada,Total population by sex and age groups - 100% Data,"Male, total",,,,,,14706850
Canada,Total population by sex and age groups - 100% Data,"Male, total",0 to 4,,,,,868075
Canada,Total population by sex and age groups - 100% Data,"Male, total",5 to 9,,,,,1011460
Canada,Total population by sex and age groups - 100% Data,"Male, total",10 to 14,,,,,1051450
Canada,Total population by sex and age groups - 100% Data,"Male, total",15 to 19,,,,,1052145
Canada,Total population by sex and age groups - 100% Data,"Male, total",20 to 24,,,,,982285
Canada,Total population by sex and age groups - 100% Data,"Male, total",25 to 29,,,,,935510
Canada,Total population by sex and age groups - 100% Data,"Male, total",30 to 34,,,,,1031255
Canada,Total population by sex and age groups - 100% Data,"Male, total",35 to 39,,,,,1245000
Canada,Total population by sex and age groups - 100% Data,"Male, total",40 to 44,,,,,1271720
Canada,Total population by sex and age groups - 100% Data,"Male, total",45 to 49,,,,,1151155
Canada,Total population by sex and age groups - 100% Data,"Male, total",50 to 54,,,,,1033365
Canada,Total population by sex and age groups - 100% Data,"Male, total",55 to 59,,,,,789205
Canada,Total population by sex and age groups - 100% Data,"Male, total",60 to 64,,,,,621570
Canada,Total population by sex and age groups - 100% Data,"Male, total",65 to 69,,,,,543825
Canada,Total population by sex and age groups - 100% Data,"Male, total",70 to 74,,,,,461780
Canada,Total population by sex and age groups - 100% Data,"Male, total",75 to 79,,,,,338820
Canada,Total population by sex and age groups - 100% Data,"Male, total",80 to 84,,,,,192645
Canada,Total population by sex and age groups - 100% Data,"Male, total",85+,,,,,125585
Canada,Total population by sex and age groups - 100% Data,"Female, total",,,,,,15300240
Canada,Total population by sex and age groups - 100% Data,"Female, total",0 to 4,,,,,828205
Canada,Total population by sex and age groups - 100% Data,"Female, total",5 to 9,,,,,964675
Canada,Total population by sex and age groups - 100% Data,"Female, total",10 to 14,,,,,1001665
Canada,Total population by sex and age groups - 100% Data,"Female, total",15 to 19,,,,,1001180
Canada,Total population by sex and age groups - 100% Data,"Female, total",20 to 24,,,,,973530
Canada,Total population by sex and age groups - 100% Data,"Female, total",25 to 29,,,,,962690
Canada,Total population by sex and age groups - 100% Data,"Female, total",30 to 34,,,,,1065490
Canada,Total population by sex and age groups - 100% Data,"Female, total",35 to 39,,,,,1277855
Canada,Total population by sex and age groups - 100% Data,"Female, total",40 to 44,,,,,1307045
Canada,Total population by sex and age groups - 100% Data,"Female, total",45 to 49,,,,,1182375
Canada,Total population by sex and age groups - 100% Data,"Female, total",50 to 54,,,,,1052395
Canada,Total population by sex and age groups - 100% Data,"Female, total",55 to 59,,,,,805030
Canada,Total population by sex and age groups - 100% Data,"Female, total",60 to 64,,,,,652215
Canada,Total population by sex and age groups - 100% Data,"Female, total",65 to 69,,,,,589800
Canada,Total population by sex and age groups - 100% Data,"Female, total",70 to 74,,,,,547430
Canada,Total population by sex and age groups - 100% Data,"Female, total",75 to 79,,,,,474850
Canada,Total population by sex and age groups - 100% Data,"Female, total",80 to 84,,,,,323495
Canada,Total population by sex and age groups - 100% Data,"Female, total",85+,,,,,290325
Ontario,"Population, 2001 - 100% Data",,,,,,,11410066
Ontario,Total population by sex and age groups - 100% Data,,,,,,,11410065
Ontario,Total population by sex and age groups - 100% Data,"Male, total",,,,,,5577065
Ontario,Total population by sex and age groups - 100% Data,"Male, total",0 to 4,,,,,343340
Ontario,Total population by sex and age groups - 100% Data,"Male, total",5 to 9,,,,,396390
Ontario,Total population by sex and age groups - 100% Data,"Male, total",10 to 14,,,,,404970
Ontario,Total population by sex and age groups - 100% Data,"Male, total",15 to 19,,,,,394920
Ontario,Total population by sex and age groups - 100% Data,"Male, total",20 to 24,,,,,359645
Ontario,Total population by sex and age groups - 100% Data,"Male, total",25 to 29,,,,,356185
Ontario,Total population by sex and age groups - 100% Data,"Male, total",30 to 34,,,,,404515
Ontario,Total population by sex and age groups - 100% Data,"Male, total",35 to 39,,,,,487610
