Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Canada,Total population - Single responses,,,,,,,18307545
Canada,Total population - Multiple responses,,,,,,,11331490
Canada,Canadian - Total responses,,,,,,,11682680
Canada,Canadian - Single responses,,,,,,,6748135
Canada,Canadian - Multiple responses,,,,,,,4934545
Canada,English - Total responses,,,,,,,5978875
Canada,English - Single responses,,,,,,,1479520
Canada,English - Multiple responses,,,,,,,4499355
Canada,French - Total responses,,,,,,,4668410
Canada,French - Single responses,,,,,,,1060755
Canada,French - Multiple responses,,,,,,,3607650
Canada,Scottish - Total responses,,,,,,,4157215
Canada,Scottish - Single responses,,,,,,,607240
Canada,Scottish - Multiple responses,,,,,,,3549975
Canada,Irish - Total responses,,,,,,,3822665
Canada,Irish - Single responses,,,,,,,496865
Canada,Irish - Multiple responses,,,,,,,3325795
Canada,German - Total responses,,,,,,,2742770
Canada,German - Single responses,,,,,,,705600
Canada,German - Multiple responses,,,,,,,2037175
Canada,Italian - Total responses,,,,,,,1270365
Canada,Italian - Single responses,,,,,,,726280
Canada,Italian - Multiple responses,,,,,,,544090
Canada,Chinese - Total responses,,,,,,,1094705
Canada,Chinese - Single responses,,,,,,,936205
Canada,Chinese - Multiple responses,,,,,,,158490
Canada,Ukrainian - Total responses,,,,,,,1071060
Canada,Ukrainian - Single responses,,,,,,,326195
Canada,Ukrainian - Multiple responses,,,,,,,744860
Canada,North American Indian - Total responses,,,,,,,1000890
Canada,North American Indian - Single responses,,,,,,,455805
Canada,North American Indian - Multiple responses,,,,,,,545090
Canada,Dutch (Netherlands) - Total responses,,,,,,,923310
Canada,Dutch (Netherlands) - Single responses,,,,,,,316220
Canada,Dutch (Netherlands) - Multiple responses,,,,,,,607090
Canada,Polish - Total responses,,,,,,,817085
Canada,Polish - Single responses,,,,,,,260415
Canada,Polish - Multiple responses,,,,,,,556670
Canada,East Indian - Total responses,,,,,,,713330
Canada,East Indian - Single responses,,,,,,,581665
Canada,East Indian - Multiple responses,,,,,,,131670
Canada,Norwegian - Total responses,,,,,,,363760
Canada,Norwegian - Single responses,,,,,,,47230
Canada,Norwegian - Multiple responses,,,,,,,316530
Canada,Portuguese - Total responses,,,,,,,357690
Canada,Portuguese - Single responses,,,,,,,252840
Canada,Portuguese - Multiple responses,,,,,,,104855
Canada,Welsh - Total responses,,,,,,,350365
Canada,Welsh - Single responses,,,,,,,28445
Canada,Welsh - Multiple responses,,,,,,,321920
Canada,Jewish - Total responses,,,,,,,348605
Canada,Jewish - Single responses,,,,,,,186475
Canada,Jewish - Multiple responses,,,,,,,162135
Canada,Russian - Total responses,,,,,,,337965
Canada,Russian - Single responses,,,,,,,70895
Canada,Russian - Multiple responses,,,,,,,267070
Canada,Filipino - Total responses,,,,,,,327545
Canada,Filipino - Single responses,,,,,,,266140
Canada,Filipino - Multiple responses,,,,,,,61405
Canada,Métis - Total responses,,,,,,,307845
Canada,Métis - Single responses,,,,,,,72205
Canada,Métis - Multiple responses,,,,,,,235635
Canada,Swedish - Total responses,,,,,,,282765
Canada,Swedish - Single responses,,,,,,,30440
Canada,Swedish - Multiple responses,,,,,,,252320
Canada,Hungarian (Magyar) - Total responses,,,,,,,267255
Canada,Hungarian (Magyar) - Single responses,,,,,,,91800
Canada,Hungarian (Magyar) - Multiple responses,,,,,,,175455
Canada,American (USA) - Total responses,,,,,,,250005
Canada,American (USA) - Single responses,,,,,,,25205
Canada,American (USA) - Multiple responses,,,,,,,224805
Canada,Greek - Total responses,,,,,,,215105
Canada,Greek - Single responses,,,,,,,143780
Canada,Greek - Multiple responses,,,,,,,71325
Canada,Spanish - Total responses,,,,,,,213100
Canada,Spanish - Single responses,,,,,,,66545
Canada,Spanish - Multiple responses,,,,,,,146555
Canada,Jamaican - Total responses,,,,,,,211725
Canada,Jamaican - Single responses,,,,,,,138180
Canada,Jamaican - Multiple responses,,,,,,,73545
Canada,Danish - Total responses,,,,,,,170785
Canada,Danish - Single responses,,,,,,,33795
Canada,Danish - Multiple responses,,,,,,,136985
Canada,Vietnamese - Total responses,,,,,,,151410
Canada,Vietnamese - Single responses,,,,,,,119120
Canada,Vietnamese - Multiple responses,,,,,,,32290
Canada,"British, n.i.e. - Total responses",,,,,,,150585
Canada,"British, n.i.e. - Single responses",,,,,,,58295
Canada,"British, n.i.e. - Multiple responses",,,,,,,92290
Canada,Austrian - Total responses,,,,,,,147585
Canada,Austrian - Single responses,,,,,,,25320
Canada,Austrian - Multiple responses,,,,,,,122265
Canada,Lebanese - Total responses,,,,,,,143630
Canada,Lebanese - Single responses,,,,,,,93890
Canada,Lebanese - Multiple responses,,,,,,,49740
Canada,Romanian - Total responses,,,,,,,131825
Canada,Romanian - Single responses,,,,,,,53320
Canada,Romanian - Multiple responses,,,,,,,78505
Canada,Belgian - Total responses,,,,,,,129780
Canada,Belgian - Single responses,,,,,,,30195
Canada,Belgian - Multiple responses,,,,,,,99585
Canada,Finnish - Total responses,,,,,,,114690
Canada,Finnish - Single responses,,,,,,,31985
Canada,Finnish - Multiple responses,,,,,,,82705
Canada,Swiss - Total responses,,,,,,,110795
Canada,Swiss - Single responses,,,,,,,24600
Canada,Swiss - Multiple responses,,,,,,,86200
Canada,Korean - Total responses,,,,,,,101710
Canada,Korean - Single responses,,,,,,,95200
Canada,Korean - Multiple responses,,,,,,,6515
Canada,Québécois - Total responses,,,,,,,98670
Canada,Québécois - Single responses,,,,,,,65475
Canada,Québécois - Multiple responses,,,,,,,33195
Canada,"African (Black), n.i.e. - Total responses",,,,,,,97190
Canada,"African (Black), n.i.e. - Single responses",,,,,,,37380
Canada,"African (Black), n.i.e. - Multiple responses",,,,,,,59805
Canada,Croatian - Total responses,,,,,,,97045
Canada,Croatian - Single responses,,,,,,,58170
Canada,Croatian - Multiple responses,,,,,,,38880
Canada,Iranian - Total responses,,,,,,,88225
Canada,Iranian - Single responses,,,,,,,73450
Canada,Iranian - Multiple responses,,,,,,,14775
Canada,Japanese - Total responses,,,,,,,85225
Canada,Japanese - Single responses,,,,,,,53175
Canada,Japanese - Multiple responses,,,,,,,32055
Canada,Haitian - Total responses,,,,,,,82405
Canada,Haitian - Single responses,,,,,,,70750
Canada,Haitian - Multiple responses,,,,,,,11650
Canada,Czech - Total responses,,,,,,,79910
Canada,Czech - Single responses,,,,,,,24950
Canada,Czech - Multiple responses,,,,,,,54965
Canada,Icelandic - Total responses,,,,,,,75090
Canada,Icelandic - Single responses,,,,,,,10850
Canada,Icelandic - Multiple responses,,,,,,,64235
Canada,Pakistani - Total responses,,,,,,,74010
Canada,Pakistani - Single responses,,,,,,,54570
Canada,Pakistani - Multiple responses,,,,,,,19445
Canada,"Arab, n.i.e. - Total responses",,,,,,,71700
Canada,"Arab, n.i.e. - Single responses",,,,,,,47600
Canada,"Arab, n.i.e. - Multiple responses",,,,,,,24105
Canada,Acadian - Total responses,,,,,,,71585
Canada,Acadian - Single responses,,,,,,,21945
Canada,Acadian - Multiple responses,,,,,,,49645
Canada,"Yugoslav, n.i.e. - Total responses",,,,,,,65505
Canada,"Yugoslav, n.i.e. - Single responses",,,,,,,26880
Canada,"Yugoslav, n.i.e. - Multiple responses",,,,,,,38625
Canada,Sri Lankan - Total responses,,,,,,,61310
Canada,Sri Lankan - Single responses,,,,,,,45485
Canada,Sri Lankan - Multiple responses,,,,,,,15825
