Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Canada,Total number of children at home - 20% Sample Data,,,,,,,9582615
Canada,Total number of children at home - 20% Sample Data,Under 6 years of age,,,,,,2064225
Canada,Total number of children at home - 20% Sample Data,6-14 years,,,,,,3614095
Canada,Total number of children at home - 20% Sample Data,15-17 years,,,,,,1201510
Canada,Total number of children at home - 20% Sample Data,18-24 years,,,,,,1790200
Canada,Total number of children at home - 20% Sample Data,25 years and over,,,,,,912590
Canada,Average number of children at home per census family,,,,,,,1.1
Canada,Total number of persons in private households - 20% Sample Data,,,,,,,29522305
Canada,Total number of persons in private households - 20% Sample Data,Number of non-family persons,,,,,,4508830
Canada,Total number of persons in private households - 20% Sample Data,Number of non-family persons,Living with relatives,,,,,554475
Canada,Total number of persons in private households - 20% Sample Data,Number of non-family persons,Living with non-relatives only,,,,,977480
Canada,Total number of persons in private households - 20% Sample Data,Number of non-family persons,Living alone,,,,,2976880
Canada,Total number of persons in private households - 20% Sample Data,Number of family persons,,,,,,25013470
Canada,Total number of persons 65 years and over - 20% Sample Data,,,,,,,3603175
Canada,Total number of persons 65 years and over - 20% Sample Data,Number of non-family persons 65 years and over,,,,,,1296130
Canada,Total number of persons 65 years and over - 20% Sample Data,Number of non-family persons 65 years and over,Living with relatives,,,,,195245
Canada,Total number of persons 65 years and over - 20% Sample Data,Number of non-family persons 65 years and over,Living with non-relatives only,,,,,60865
Canada,Total number of persons 65 years and over - 20% Sample Data,Number of non-family persons 65 years and over,Living alone,,,,,1040020
Canada,Total number of persons 65 years and over - 20% Sample Data,Number of family persons 65 years and over,,,,,,2307050
Canada,Total number of occupied private dwellings - 20% Sample Data,,,,,,,11562975
Canada,Average number of rooms per dwelling,,,,,,,6.3
Canada,Average number of bedrooms per dwelling,,,,,,,2.7
Canada,Owned,,,,,,,7610390
Canada,Rented,,,,,,,3907170
Canada,Regular maintenance only,,,,,,,7554135
Canada,"Period of construction, before 1946",,,,,,,1661640
Canada,"Period of construction, 1946-1960",,,,,,,1819730
Canada,"Period of construction, 1961-1970",,,,,,,1833295
Canada,"Period of construction, 1971-1980",,,,,,,2460455
Canada,"Period of construction, 1981-1990",,,,,,,2080740
Canada,"Period of construction, 1991-1995",,,,,,,887255
Canada,"Period of construction, 1996-2001",,,,,,,819865
Canada,Total number of occupied private dwellings by structural type of dwelling - 100% Data,,,,,,,11562975
Canada,Total number of occupied private dwellings by structural type of dwelling - 100% Data,Single-detached house,,,,,,6615365
Canada,Total number of occupied private dwellings by structural type of dwelling - 100% Data,Semi-detached house,,,,,,561345
Canada,Total number of occupied private dwellings by structural type of dwelling - 100% Data,Row house,,,,,,615850
Canada,Total number of occupied private dwellings by structural type of dwelling - 100% Data,"Apartment, detached duplex",,,,,,419760
Canada,Total number of occupied private dwellings by structural type of dwelling - 100% Data,"Apartment, building that has five or more storeys",,,,,,1050195
Canada,Total number of occupied private dwellings by structural type of dwelling - 100% Data,"Apartment, building that has fewer than five storeys",,,,,,2100835
Canada,Total number of occupied private dwellings by structural type of dwelling - 100% Data,Other single-attached house,,,,,,42055
Canada,Total number of occupied private dwellings by structural type of dwelling - 100% Data,Movable dwelling,,,,,,157560
Canada,Total number of private households by household size - 100% Data,,,,,,,11562975
Canada,Total number of private households by household size - 100% Data,1 person,,,,,,2981050
Canada,Total number of private households by household size - 100% Data,2 persons,,,,,,3773335
Canada,Total number of private households by household size - 100% Data,3 persons,,,,,,1880225
Canada,Total number of private households by household size - 100% Data,4-5 persons,,,,,,2574090
Canada,Total number of private households by household size - 100% Data,6 or more persons,,,,,,354275
Canada,Number of persons in private households,,,,,,,29522305
Canada,Average number of persons in private households,,,,,,,2.6
Canada,Total number of private households by household type - 20% Sample Data,,,,,,,11562975
Canada,Total number of private households by household type - 20% Sample Data,One-family households,,,,,,7951965
Canada,Total number of private households by household type - 20% Sample Data,Multiple-family households,,,,,,203595
Canada,Total number of private households by household type - 20% Sample Data,Non-family households,,,,,,3407415
Ontario,Total number of children at home - 20% Sample Data,,,,,,,3809265
Ontario,Total number of children at home - 20% Sample Data,Under 6 years of age,,,,,,818690
Ontario,Total number of children at home - 20% Sample Data,6-14 years,,,,,,1402160
Ontario,Total number of children at home - 20% Sample Data,15-17 years,,,,,,456415
Ontario,Total number of children at home - 20% Sample Data,18-24 years,,,,,,724895
Ontario,Total number of children at home - 20% Sample Data,25 years and over,,,,,,407105
Ontario,Average number of children at home per census family,,,,,,,1.2
Ontario,Total number of persons in private households - 20% Sample Data,,,,,,,11254755
Ontario,Total number of persons in private households - 20% Sample Data,Number of non-family persons,,,,,,1549595
Ontario,Total number of persons in private households - 20% Sample Data,Number of non-family persons,Living with relatives,,,,,227345
Ontario,Total number of persons in private households - 20% Sample Data,Number of non-family persons,Living with non-relatives only,,,,,332090
Ontario,Total number of persons in private households - 20% Sample Data,Number of non-family persons,Living alone,,,,,990160
Ontario,Total number of persons in private households - 20% Sample Data,Number of family persons,,,,,,9705155
Ontario,Total number of persons 65 years and over - 20% Sample Data,,,,,,,1379965
Ontario,Total number of persons 65 years and over - 20% Sample Data,Number of non-family persons 65 years and over,,,,,,474580
Ontario,Total number of persons 65 years and over - 20% Sample Data,Number of non-family persons 65 years and over,Living with relatives,,,,,84505
Ontario,Total number of persons 65 years and over - 20% Sample Data,Number of non-family persons 65 years and over,Living with non-relatives only,,,,,20525
Ontario,Total number of persons 65 years and over - 20% Sample Data,Number of non-family persons 65 years and over,Living alone,,,,,369550
Ontario,Total number of persons 65 years and over - 20% Sample Data,Number of family persons 65 years and over,,,,,,905390
Ontario,Total number of occupied private dwellings - 20% Sample Data,,,,,,,4219425
Ontario,Average number of rooms per dwelling,,,,,,,6.4
Ontario,Average number of bedrooms per dwelling,,,,,,,2.7
Ontario,Owned,,,,,,,2862310
Ontario,Rented,,,,,,,1351365
Ontario,Regular maintenance only,,,,,,,2830385
Ontario,"Period of construction, before 1946",,,,,,,703410
Ontario,"Period of construction, 1946-1960",,,,,,,692700
Ontario,"Period of construction, 1961-1970",,,,,,,680890
Ontario,"Period of construction, 1971-1980",,,,,,,795110
Ontario,"Period of construction, 1981-1990",,,,,,,743780
Ontario,"Period of construction, 1991-1995",,,,,,,286800
Ontario,"Period of construction, 1996-2001",,,,,,,316735
Ontario,Total number of occupied private dwellings by structural type of dwelling - 100% Data,,,,,,,4219425
Ontario,Total number of occupied private dwellings by structural type of dwelling - 100% Data,Single-detached house,,,,,,2447815
Ontario,Total number of occupied private dwellings by structural type of dwelling - 100% Data,Semi-detached house,,,,,,262770
Ontario,Total number of occupied private dwellings by structural type of dwelling - 100% Data,Row house,,,,,,307335
Ontario,Total number of occupied private dwellings by structural type of dwelling - 100% Data,"Apartment, detached duplex",,,,,,92260
Ontario,Total number of occupied private dwellings by structural type of dwelling - 100% Data,"Apartment, building that has five or more storeys",,,,,,678325
Ontario,Total number of occupied private dwellings by structural type of dwelling - 100% Data,"Apartment, building that has fewer than five storeys",,,,,,406025
Ontario,Total number of occupied private dwellings by structural type of dwelling - 100% Data,Other single-attached house,,,,,,12530
Ontario,Total number of occupied private dwellings by structural type of dwelling - 100% Data,Movable dwelling,,,,,,12370
Ontario,Total number of private households by household size - 100% Data,,,,,,,4219425
Ontario,Total number of private households by household size - 100% Data,1 person,,,,,,992155
Ontario,Total number of private households by household size - 100% Data,2 persons,,,,,,1327535
Ontario,Total number of private households by household size - 100% Data,3 persons,,,,,,699705
Ontario,Total number of private households by household size - 100% Data,4-5 persons,,,,,,1043530
Ontario,Total number of private households by household size - 100% Data,6 or more persons,,,,,,156495
Ontario,Number of persons in private households,,,,,,,11254755
Ontario,Average number of persons in private households,,,,,,,2.7
Ontario,Total number of private households by household type - 20% Sample Data,,,,,,,4219425
Ontario,Total number of private households by household type - 20% Sample Data,One-family households,,,,,,2986085
Ontario,Total number of private households by household type - 20% Sample Data,Multiple-family households,,,,,,99430
Ontario,Total number of private households by household type - 20% Sample Data,Non-family households,,,,,,1133910
