Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Canada,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,3988205
Canada,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,1472470
Canada,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,2276005
Canada,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,239730
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,5205420
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,285780
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,177415
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,281950
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,470950
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,828780
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,254990
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,414080
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,1994155
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,225760
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,259415
Canada,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,12145
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,5260980
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,797915
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,399505
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,392615
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,567280
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,1458440
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,242510
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,75585
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,239990
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,938345
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,135100
Canada,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,13695
Ontario,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,1479675
Ontario,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,520030
Ontario,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,883020
Ontario,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,76625
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,2016235
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,93775
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,70320
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,111145
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,210330
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,339560
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,81990
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,192490
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,714185
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,82995
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,116170
Ontario,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,3270
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,2028510
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,286050
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,147590
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,161820
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,259260
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,526195
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,83635
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,36740
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,95545
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,364125
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,63545
Ontario,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,4005
M1B,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,9685
M1B,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,2765
M1B,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,6360
M1B,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,550
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,9740
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,340
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,315
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,340
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,595
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,2185
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,290
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,1165
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,3480
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,345
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,625
M1B,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,55
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,10305
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,980
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,460
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,665
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,1005
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,3445
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,340
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,195
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,705
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,1930
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,525
M1B,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,50
M1C,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,5545
M1C,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,1415
M1C,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,3840
M1C,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,290
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,7665
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,370
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,225
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,305
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,745
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,1625
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,200
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,905
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,2335
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,300
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,645
M1C,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,0
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,6840
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,1125
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,305
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,465
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,840
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,2140
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,250
M1C,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,105
