Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Canada,Total number of census families in private households - 20% Sample Data,,,,,,,8371020
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,,,,,,7059835
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Married couples,,,,,5901425
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Married couples,Without children at home,,,,2431725
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Married couples,With children at home,,,,3469705
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Married couples,With children at home,1 child,,,1229060
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Married couples,With children at home,2 children,,,1518475
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Married couples,With children at home,3 or more children,,,722170
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Common-law couples,,,,,1158405
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Common-law couples,Without children at home,,,,627505
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Common-law couples,With children at home,,,,530905
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Common-law couples,With children at home,1 child,,,254380
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Common-law couples,With children at home,2 children,,,197795
Canada,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Common-law couples,With children at home,3 or more children,,,78730
Canada,Total number of census families in private households - 20% Sample Data,Total lone-parent families by sex of parent and number of children - 20% Sample Data,,,,,,1311190
Canada,Total number of census families in private households - 20% Sample Data,Total lone-parent families by sex of parent and number of children - 20% Sample Data,Female parent,,,,,1065360
Canada,Total number of census families in private households - 20% Sample Data,Total lone-parent families by sex of parent and number of children - 20% Sample Data,Female parent,1 child,,,,638435
Canada,Total number of census families in private households - 20% Sample Data,Total lone-parent families by sex of parent and number of children - 20% Sample Data,Female parent,2 children,,,,307635
Canada,Total number of census families in private households - 20% Sample Data,Total lone-parent families by sex of parent and number of children - 20% Sample Data,Female parent,3 or more children,,,,119295
Canada,Total number of census families in private households - 20% Sample Data,Total lone-parent families by sex of parent and number of children - 20% Sample Data,Male parent,,,,,245825
Canada,Total number of census families in private households - 20% Sample Data,Total lone-parent families by sex of parent and number of children - 20% Sample Data,Male parent,1 child,,,,163240
Canada,Total number of census families in private households - 20% Sample Data,Total lone-parent families by sex of parent and number of children - 20% Sample Data,Male parent,2 children,,,,63455
Canada,Total number of census families in private households - 20% Sample Data,Total lone-parent families by sex of parent and number of children - 20% Sample Data,Male parent,3 or more children,,,,19130
Canada,Average number of persons per census family,,,,,,,3
Ontario,Total number of census families in private households - 20% Sample Data,,,,,,,3191000
Ontario,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,,,,,,2704890
Ontario,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Married couples,,,,,2406350
Ontario,Total number of census families in private households - 20% Sample Data,Total couple families by family structure and number of children - 20% Sample Data,Married couples,Without children at home,,,,936440
