Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",,,,,,,16415785
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",,,Average employment income $,,,,31757
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",,,Standard error of average employment income $,,,,23
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data","Worked full year, full time",,,,,,8685230
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data","Worked full year, full time",,Average employment income $,,,,43298
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data","Worked full year, full time",,Standard error of average employment income $,,,,36
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Worked part year or part time,,,,,,7301290
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Worked part year or part time,,Average employment income $,,,,19207
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Worked part year or part time,,Standard error of average employment income $,,,,24
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Males 15 years and over with employment income - Work activity,,,,,,8664545
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Males 15 years and over with employment income - Work activity,,Average employment income $,,,,38347
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Males 15 years and over with employment income - Work activity,,Standard error of average employment income $,,,,39
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Males 15 years and over with employment income - Work activity,"Worked full year, full time",,,,,5093705
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Males 15 years and over with employment income - Work activity,"Worked full year, full time",Average employment income $,,,,49224
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Males 15 years and over with employment income - Work activity,"Worked full year, full time",Standard error of average employment income $,,,,57
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Males 15 years and over with employment income - Work activity,Worked part year or part time,,,,,3376780
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Males 15 years and over with employment income - Work activity,Worked part year or part time,Average employment income $,,,,23370
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Males 15 years and over with employment income - Work activity,Worked part year or part time,Standard error of average employment income $,,,,47
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Females 15 years and over with employment income - Work activity,,,,,,7751235
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Females 15 years and over with employment income - Work activity,,Average employment income $,,,,24390
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Females 15 years and over with employment income - Work activity,,Standard error of average employment income $,,,,18
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Females 15 years and over with employment income - Work activity,"Worked full year, full time",,,,,3591520
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Females 15 years and over with employment income - Work activity,"Worked full year, full time",Average employment income $,,,,34892
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Females 15 years and over with employment income - Work activity,"Worked full year, full time",Standard error of average employment income $,,,,29
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Females 15 years and over with employment income - Work activity,Worked part year or part time,,,,,3924515
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Females 15 years and over with employment income - Work activity,Worked part year or part time,Average employment income $,,,,15625
Canada,"Total population 15 years and over with employment income, by sex and work activity - 20% Sample Data",Females 15 years and over with employment income - Work activity,Worked part year or part time,Standard error of average employment income $,,,,19
Canada,Total - Composition of total income in 2000 % - 20% Sample Data,,,,,,,100
Canada,Total - Composition of total income in 2000 % - 20% Sample Data,Employment income %,,,,,,77.1
Canada,Total - Composition of total income in 2000 % - 20% Sample Data,Government transfer payments %,,,,,,11.6
Canada,Total - Composition of total income in 2000 % - 20% Sample Data,Other %,,,,,,11.3
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,,,,,,,23901360
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,Without income,,,,,,1178305
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,,,,,,22723055
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"Under $1,000",,,,,1027290
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$  1,000 - $  2,999",,,,,1052670
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$  3,000 - $  4,999",,,,,865750
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$  5,000 - $  6,999",,,,,1013325
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$  7,000 - $  9,999",,,,,1463950
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$10,000 - $11,999",,,,,1092325
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$12,000 - $14,999",,,,,1670990
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$15,000 - $19,999",,,,,2244945
Canada,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$20,000 - $24,999",,,,,1878230
