Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,,,,,,,15872070
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,Occupation - Not applicable,,,,,,295510
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,,,,,,15576560
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,A Management occupations,,,,,1620905
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,A Management occupations,A0 Senior management occupations,,,,206290
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,A Management occupations,A1 Specialist managers,,,,395040
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,A Management occupations,"A2 Managers in retail trade, food and accommodation services",,,,502340
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,A Management occupations,"A3 Other managers, n.e.c.",,,,517235
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,"B Business, finance and administration occupations",,,,,2768375
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,"B Business, finance and administration occupations",B0 Professional occupations in business and finance,,,,375430
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,"B Business, finance and administration occupations",B1 Finance and insurance administration occupations,,,,180505
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,"B Business, finance and administration occupations",B2 Secretaries,,,,365675
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,"B Business, finance and administration occupations",B3 Administrative and regulatory occupations,,,,297155
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,"B Business, finance and administration occupations",B4 Clerical supervisors,,,,84140
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,"B Business, finance and administration occupations",B5 Clerical occupations,,,,1465470
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,C Natural and applied sciences and related occupations,,,,,1003810
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,C Natural and applied sciences and related occupations,C0 Professional occupations in natural and applied sciences,,,,548165
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,C Natural and applied sciences and related occupations,C1 Technical occupations related to natural and applied sciences,,,,455645
Canada,Total labour force 15 years and over by occupation - 2001 National Occupational Classification for Statistics - 20% Sample Data,All occupations,D Health occupations,,,,,812200
