Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Canada,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,29314755
Canada,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,25123495
Canada,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,4191265
Canada,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,2388905
Canada,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,1802360
Canada,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,1507740
Canada,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,1223105
Canada,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,284635
Canada,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,294620
Canada,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,27932590
Canada,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,16222260
Canada,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,11710325
Canada,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,6251595
Canada,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,5458735
Canada,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,4482770
Canada,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,3577105
Canada,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,905670
Canada,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,975965
Ontario,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,11156145
Ontario,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,9610120
Ontario,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,1546020
Ontario,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,881955
Ontario,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,664065
Ontario,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,514600
Ontario,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,439310
Ontario,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,75300
Ontario,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,149460
Ontario,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,10609780
Ontario,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,6067755
Ontario,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,4542025
Ontario,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,2460330
Ontario,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,2081700
Ontario,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,1566365
Ontario,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,1323870
Ontario,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,242495
Ontario,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,515335
M1B,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,60695
M1B,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,53000
M1B,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,7695
M1B,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,5620
M1B,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,2075
M1B,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,970
M1B,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,740
M1B,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,230
M1B,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,1110
M1B,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,57220
M1B,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,31960
M1B,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,25255
M1B,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,18025
M1B,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,7235
M1B,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,2620
M1B,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,1990
M1B,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,635
M1B,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,4615
M1C,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,34415
M1C,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,31195
M1C,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,3220
M1C,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,2320
M1C,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,905
M1C,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,410
M1C,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,365
M1C,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,45
M1C,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,495
M1C,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,32890
M1C,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,20550
M1C,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,12340
M1C,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,9410
M1C,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,2930
M1C,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,1625
M1C,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,1445
M1C,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,180
M1C,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,1305
M1G,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,29930
M1G,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,26075
M1G,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,3860
M1G,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,2200
M1G,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,1660
M1G,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,345
M1G,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,210
M1G,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,130
M1G,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,1320
M1G,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,28030
M1G,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,15575
M1G,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,12455
M1G,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,7240
M1G,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,5210
M1G,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,1195
M1G,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,705
M1G,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,490
M1G,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,4020
M1H,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,20635
M1H,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,17425
M1H,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,3210
M1H,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,1890
M1H,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,1320
M1H,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,370
M1H,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,305
M1H,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,65
