Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Canada,Total population by selected religions - 20% Sample Data,,,,,,,29639030
Canada,Total population by selected religions - 20% Sample Data,Roman Catholic,,,,,,12793125
Canada,Total population by selected religions - 20% Sample Data,No religion,,,,,,4796325
Canada,Total population by selected religions - 20% Sample Data,United Church,,,,,,2839125
Canada,Total population by selected religions - 20% Sample Data,Anglican,,,,,,2035500
Canada,Total population by selected religions - 20% Sample Data,Christian not included elsewhere,,,,,,780450
Canada,Total population by selected religions - 20% Sample Data,Baptist,,,,,,729475
Canada,Total population by selected religions - 20% Sample Data,Lutheran,,,,,,606590
Canada,Total population by selected religions - 20% Sample Data,Muslim,,,,,,579640
Canada,Total population by selected religions - 20% Sample Data,Protestant not included elsewhere,,,,,,549205
Canada,Total population by selected religions - 20% Sample Data,Presbyterian,,,,,,409825
Canada,Total population by selected religions - 20% Sample Data,Pentecostal,,,,,,369475
Canada,Total population by selected religions - 20% Sample Data,Jewish,,,,,,329995
Canada,Total population by selected religions - 20% Sample Data,Buddhist,,,,,,300345
Canada,Total population by selected religions - 20% Sample Data,Hindu,,,,,,297200
Canada,Total population by selected religions - 20% Sample Data,Sikh,,,,,,278410
Canada,Total population by selected religions - 20% Sample Data,Greek Orthodox,,,,,,215170
Canada,Total population by selected religions - 20% Sample Data,Mennonite,,,,,,191470
Canada,Total population by selected religions - 20% Sample Data,Orthodox not included elsewhere,,,,,,165420
Canada,Total population by selected religions - 20% Sample Data,Jehovah's Witnesses,,,,,,154750
Canada,Total population by selected religions - 20% Sample Data,Ukrainian Catholic,,,,,,126200
Canada,Total population by selected religions - 20% Sample Data,Church of Jesus Christ of Latter-day Saints (Mormons),,,,,,101800
Canada,Total population by selected religions - 20% Sample Data,Salvation Army,,,,,,87790
Canada,Total population by selected religions - 20% Sample Data,Christian Reformed Church,,,,,,76665
Canada,Total population by selected religions - 20% Sample Data,Evangelical Missionary Church,,,,,,66705
Canada,Total population by selected religions - 20% Sample Data,Christian and Missionary Alliance,,,,,,66285
Canada,Total population by selected religions - 20% Sample Data,Adventist,,,,,,62880
Canada,Total population by selected religions - 20% Sample Data,Non-denominational,,,,,,40545
Canada,Total population by selected religions - 20% Sample Data,Ukrainian Orthodox,,,,,,32720
Canada,Total population by selected religions - 20% Sample Data,Aboriginal spirituality,,,,,,29820
Canada,Total population by selected religions - 20% Sample Data,Hutterite,,,,,,26300
Canada,Total population by selected religions - 20% Sample Data,Methodist,,,,,,25730
Canada,Total population by selected religions - 20% Sample Data,Pagan,,,,,,21080
Canada,Total population by selected religions - 20% Sample Data,Brethren in Christ,,,,,,20590
Canada,Total population by selected religions - 20% Sample Data,Serbian Orthodox,,,,,,20520
Ontario,Total population by selected religions - 20% Sample Data,,,,,,,11285570
Ontario,Total population by selected religions - 20% Sample Data,Roman Catholic,,,,,,3866375
Ontario,Total population by selected religions - 20% Sample Data,No religion,,,,,,1809535
Ontario,Total population by selected religions - 20% Sample Data,United Church,,,,,,1334570
Ontario,Total population by selected religions - 20% Sample Data,Anglican,,,,,,985110
Ontario,Total population by selected religions - 20% Sample Data,Christian not included elsewhere,,,,,,301930
Ontario,Total population by selected religions - 20% Sample Data,Baptist,,,,,,289455
Ontario,Total population by selected religions - 20% Sample Data,Lutheran,,,,,,210085
Ontario,Total population by selected religions - 20% Sample Data,Muslim,,,,,,352525
Ontario,Total population by selected religions - 20% Sample Data,Protestant not included elsewhere,,,,,,263000
Ontario,Total population by selected religions - 20% Sample Data,Presbyterian,,,,,,279195
Ontario,Total population by selected religions - 20% Sample Data,Pentecostal,,,,,,158590
Ontario,Total population by selected religions - 20% Sample Data,Jewish,,,,,,190795
Ontario,Total population by selected religions - 20% Sample Data,Buddhist,,,,,,128320
Ontario,Total population by selected religions - 20% Sample Data,Hindu,,,,,,217560
Ontario,Total population by selected religions - 20% Sample Data,Sikh,,,,,,104785
Ontario,Total population by selected religions - 20% Sample Data,Greek Orthodox,,,,,,113440
Ontario,Total population by selected religions - 20% Sample Data,Mennonite,,,,,,60590
Ontario,Total population by selected religions - 20% Sample Data,Orthodox not included elsewhere,,,,,,98780
Ontario,Total population by selected religions - 20% Sample Data,Jehovah's Witnesses,,,,,,54940
Ontario,Total population by selected religions - 20% Sample Data,Ukrainian Catholic,,,,,,38440
Ontario,Total population by selected religions - 20% Sample Data,Church of Jesus Christ of Latter-day Saints (Mormons),,,,,,20355
Ontario,Total population by selected religions - 20% Sample Data,Salvation Army,,,,,,27560
Ontario,Total population by selected religions - 20% Sample Data,Christian Reformed Church,,,,,,48790
Ontario,Total population by selected religions - 20% Sample Data,Evangelical Missionary Church,,,,,,21480
Ontario,Total population by selected religions - 20% Sample Data,Christian and Missionary Alliance,,,,,,14590
Ontario,Total population by selected religions - 20% Sample Data,Adventist,,,,,,30875
Ontario,Total population by selected religions - 20% Sample Data,Non-denominational,,,,,,16035
Ontario,Total population by selected religions - 20% Sample Data,Ukrainian Orthodox,,,,,,9050
Ontario,Total population by selected religions - 20% Sample Data,Aboriginal spirituality,,,,,,7270
Ontario,Total population by selected religions - 20% Sample Data,Hutterite,,,,,,55
Ontario,Total population by selected religions - 20% Sample Data,Methodist,,,,,,16615
Ontario,Total population by selected religions - 20% Sample Data,Pagan,,,,,,7565
Ontario,Total population by selected religions - 20% Sample Data,Brethren in Christ,,,,,,15270
Ontario,Total population by selected religions - 20% Sample Data,Serbian Orthodox,,,,,,15845
M1B,Total population by selected religions - 20% Sample Data,,,,,,,61560
M1B,Total population by selected religions - 20% Sample Data,Roman Catholic,,,,,,15950
