Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
Canada,Total population by visible minority groups - 20% Sample Data,,,,,,,29639035
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,,,,,,3983845
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Chinese,,,,,1029395
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,South Asian,,,,,917075
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Black,,,,,662215
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Filipino,,,,,308575
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Latin American,,,,,216975
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Southeast Asian,,,,,198880
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Arab,,,,,194680
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,West Asian,,,,,109285
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Korean,,,,,100660
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Japanese,,,,,73315
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,"Visible minority, n.i.e.",,,,,98915
Canada,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Multiple visible minorities,,,,,73870
Canada,Total population by visible minority groups - 20% Sample Data,All others,,,,,,25655185
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,,,,,,,29639030
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,,,,,,976305
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,North American Indian single response,,,,,608850
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,Métis single response,,,,,292305
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,Inuit single response,,,,,45070
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,Multiple Aboriginal responses,,,,,6660
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,Aboriginal responses not included elsewhere,,,,,23415
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total non-Aboriginal population,,,,,,28662725
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total non-Aboriginal population,,,,,,29639035
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,,,,,,1319890
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,North American Indian single origin,,,,,455805
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,North American Indian and non-Aboriginal origins,,,,,501845
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,Métis single origin,,,,,72210
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,Métis and non-Aboriginal origins,,,,,193805
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,Inuit single origin,,,,,37025
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,Inuit and non-Aboriginal origins,,,,,14360
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,Other Aboriginal multiple origins,,,,,44835
Canada,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total non-Aboriginal population,,,,,,28319140
Canada,Total population 15 years and over by labour force activity - 20% Sample Data,,,,,,,23901360
Canada,Total population 15 years and over by labour force activity - 20% Sample Data,In the labour force,,,,,,15872070
Canada,Total population 15 years and over by labour force activity - 20% Sample Data,In the labour force,Employed,,,,,14695130
Canada,Total population 15 years and over by labour force activity - 20% Sample Data,In the labour force,Unemployed,,,,,1176940
Canada,Total population 15 years and over by labour force activity - 20% Sample Data,Not in the labour force,,,,,,8029290
Ontario,Total population by visible minority groups - 20% Sample Data,,,,,,,11285570
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,,,,,,2153045
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Chinese,,,,,481510
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,South Asian,,,,,554870
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Black,,,,,411095
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Filipino,,,,,156515
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Latin American,,,,,106835
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Southeast Asian,,,,,86410
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Arab,,,,,88545
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,West Asian,,,,,67105
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Korean,,,,,53955
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Japanese,,,,,24925
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,"Visible minority, n.i.e.",,,,,78920
Ontario,Total population by visible minority groups - 20% Sample Data,Total visible minority population,Multiple visible minorities,,,,,42375
Ontario,Total population by visible minority groups - 20% Sample Data,All others,,,,,,9132525
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,,,,,,,11285570
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,,,,,,188310
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,North American Indian single response,,,,,131560
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,Métis single response,,,,,48345
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,Inuit single response,,,,,1380
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,Multiple Aboriginal responses,,,,,1695
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal identity population,Aboriginal responses not included elsewhere,,,,,5350
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total non-Aboriginal population,,,,,,11097260
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total non-Aboriginal population,,,,,,11285570
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,,,,,,308105
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,North American Indian single origin,,,,,80070
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,North American Indian and non-Aboriginal origins,,,,,163745
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,Métis single origin,,,,,9230
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,Métis and non-Aboriginal origins,,,,,46470
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,Inuit single origin,,,,,620
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,Inuit and non-Aboriginal origins,,,,,2700
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total Aboriginal origins population,Other Aboriginal multiple origins,,,,,5280
Ontario,Total population by Aboriginal and non-Aboriginal population - 20% Sample Data,Total non-Aboriginal population,,,,,,10977465
Ontario,Total population 15 years and over by labour force activity - 20% Sample Data,,,,,,,9048060
Ontario,Total population 15 years and over by labour force activity - 20% Sample Data,In the labour force,,,,,,6086840
Ontario,Total population 15 years and over by labour force activity - 20% Sample Data,In the labour force,Employed,,,,,5713920
Ontario,Total population 15 years and over by labour force activity - 20% Sample Data,In the labour force,Unemployed,,,,,372915
Ontario,Total population 15 years and over by labour force activity - 20% Sample Data,Not in the labour force,,,,,,2961220
M1B,Total population by visible minority groups - 20% Sample Data,,,,,,,61565
M1B,Total population by visible minority groups - 20% Sample Data,Total visible minority population,,,,,,48695
